job_listing,original_date_posted,skills,company_name,job_city,job_region,job_postal_code,intext_job_title,intext_company_name,intext_date_posted,intext_location,get_education_level,intext_skills,coding_languages,technologies,methodologies,operating_systems,remote,years_experience,date_of_processing,salary,URL
Data Scientist - Pricing Analyst,2021-06-29T13:05:04Z,"Data Science, Pricing Analyst, Pricing Elasticity, Forcasting",Factspan Inc,San Francisco,CA,94101,Data Scientist,Pricing Analyst,6/29/2021,"Factspan Inc - San Francisco, CA",Bachelor's - Masters,"product management, nosql, data science, leadership, statistics, less, testing, a/b testing","nosql, sr, ead, go",,,"hive, go",True,5,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Pricing-Analyst-Factspan-Inc-San-Francisco-CA-94101/91005834/7025167
Sr. Data Scientist,2021-03-25T00:47:55Z,"NLP, Research, RF, Python, Systems, Computer, SQL",Mitchell Marti,Austin,TX,73301,Sr. Data Scientist,"Mitchell Martin, Inc.",,"Austin, TX",Bachelor's - Masters,"machine learning, clustering, data structures, data management, deep learning, python, computer science, testing, design of experiments, sql, neural networks, docker, mathematics, data science, procurement, agile, data collection, modeling, problem solving","ml, sql, python",,agile,scope,True,5,6292021,,https://www.dice.com/jobs/detail/Sr.-Data-Scientist-Mitchell-Martin%2C-Inc.-Austin-TX-73301/mitchmar1/MITCA000J136723
DATA SCIENTIST - 100% REMOTE,2021-06-28T22:06:04Z,"Data Science, Python, ETL, Spark, Hive, SQL, NLP, Machine Learning",Provish Consulting,,,,DATA SCIENTIST,100% REMOTE,,Provish Consulting -,Bachelor's - Masters,"trend analysis, machine learning, linguistics, optical, kubernetes, etl, natural language processing, software engineering, big data, keras, rapid prototyping, natural, tableau, selenium, python, computer science, nosql, software development, flask, nltk, sql, artificial intelligence, algorithms, scala, docker, tensorflow, opencv, api, data science, hdfs","rest, nosql, scala, processing, ml, sr, rapid, spark, sql, python","kubernetes, pytorch, tensorflow",prototyping,hive,True,2 to 7,6292021,,https://www.dice.com/jobs/detail/DATA-SCIENTIST-%26%2345-100%26%2337-REMOTE-Provish-Consulting---/10313336/7023985
Data Scientist,2021-06-15T05:06:28Z,other,Quicken Loan,Windsor,ON,N9A 5M6,Data Scientist,"Quicken Loans, LLC",6/29/2021,"Windsor, ON",Bachelor's - Masters,"sas, business analytics, computer science, statistical analysis, big data, r, mathematics, data mining, data visualization, sql, leadership, statistics, testing, microsoft office, modeling","sas, sql, s, r",,,,False,3 to 3,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Quicken-Loans%2C-LLC-Windsor-ON-N9A 5M6/10109060/R%26%2345062117
Senior Data Scientist,2021-06-23T20:30:12Z,"Artificial Intelligence, Physics, Engineering",Bank Of America,Charlotte,NC,28201,Senior Data Scientist,Bank Of America,6/29/2021,"Charlotte, NC",Bachelor's - Masters,"algorithms, machine learning, finance, mathematics, risk assessment, banking, physics, program management, use cases, risk management, management skills, modeling, artificial intelligence","context, sr",,,,False,7 to 7,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-Bank-Of-America-Charlotte-NC-28201/10118499/21038095
Machine Learning /Data Scientist,2021-06-02T18:46:13Z,"Machine Learning, Data Scientist, SageMaker, big data, Hadoop, Unix, Java, Python",CS Solution,,,,Machine Learning /Data Scientist,"CS Solutions, Inc.",6/1/2021,,Bachelor's - Masters,"cloudera, machine learning, issue tracking, big data, agile, python, unix, cloud, sql, java","shell, unix shell, java, sql, python",aws,"agile, version control",,True,,6292021,,https://www.dice.com/jobs/detail/Machine-Learning-%26%2347Data-Scientist-CS-Solutions%2C-Inc.---/CSSOL/6989622
Data Scientist,2021-04-16T00:31:34Z,"Analytical, CMS, Interface, Test, Physics, Systems, Engineering, Python, SQL",comScore,New York,NY,10001,Data Scientist,comScore,,"New York, NY",Bachelor's - Masters,"project delivery, product development, digital media, r, advertising, python, data mining, statistics, teamwork, data manipulation, testing, market research, debugging, sql, systems engineering, sem, mathematics, marketing, physics, writing, modeling","source, r, sql, python",,prototyping,,False,4,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-comScore-New-York-NY-10001/10121572/4706
Data Scientist - ML,2021-06-17T00:47:57Z,"Engineer, Architect, Computer, Engineering, Domino, Java, J2EE, JSP, Python, Teradata, Management, Quality",Judge Grou,Grand Prairie,TX,75050,Data Scientist,ML,6/29/2021,"Judge Group, Inc. - Grand Prairie, TX",Bachelor's - Masters,"machine learning, java, big data, teradata, leadership, node.js, risk management, j2ee, python, computer science, nosql, jsp, statistics, teamwork, ui, confluence, data science, agile, jira","spark, nosql, python, ml, clean, java","angular, jira","gitlab, agile",monitor,False,3 to 7,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-ML-Judge-Group%2C-Inc.-Grand-Prairie-TX-75050/cxjudgpa/729728
Data Scientist,2021-06-08T14:09:33Z,"Tableau, Gephi, ggplot, Statistics, SAS, Database design, Data visualization, Analytical skill, Data modeling, Data mining, Data analysis, R, Perl, Python, ETL, C, Security clearance",Akim,Mclean,VA,20598,Data Scientist,"Akima, LLC",6/8/2021,"Mclean, VA",Bachelor's - Masters,"database, database design, etl, data analysis, r, c, information management, python, vba, computer science, oracle, perl, data mining, statistics, xml, sql, sas, microsoft access, mathematics, data visualization, javascript, data modeling, c++, modeling","sas, microsoft access, oracle, r, perl, c, javascript, python, xml, c++, sql, clean",,,,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Akima%2C-LLC-Mclean-VA-20598/10119288/6996968
Data Scientist(Python),2021-05-10T00:16:44Z,"DATA SCIENTIST, PYTHON, MACHINE LEARNING, PHARMACEUTICAL INDUSTRY",Pozent,Raritan,NJ,8869,Data Scientist(Python),Pozent,,"Raritan, NJ",Bachelor's - Masters,"machine learning, r, clustering, modeling, python","r, python",,,,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist%28Python%29-Pozent-Raritan-NJ-08869/10210856/21%26%234501169
Data Scientist - Martech - 100% Remote,2021-04-01T23:49:49Z,"Python, SQL",Michael Page,Boston,MA,2298,Data Scientist,Martech,6/29/2021,"100% Remote - Michael Page - Boston, MA",Bachelor's - Masters,"neural networks, algorithms, machine learning, sql, statistics, data modeling, clustering, modeling, python","plus, sql, python",,,,True,3,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Martech-%26%2345-100%26%2337-Remote-Michael-Page-Boston-MA-02298/appblok/11153_1511473
Data Scientist I,2021-06-14T16:06:06Z,"Caffe, Data modeling, Data mining, Data analysis, Computer science, Python, R, Data evaluation, data visualization, Darknet, PyTorch, Tensor flow",Conduent,Germantown,MD,20874,Data Scientist I,Conduent,6/15/2021,"Germantown, MD",Bachelor's - Masters,"data analysis, computer science, machine learning, r, data mining, data visualization, purchasing, device drivers, testing, data modeling, business operations, data processing, debugging, deep learning, animation, modeling, python","r, python, processing",pytorch,,,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-I-Conduent-Germantown-MD-20874/RTX1e1ed4/2021%26%234535290
Data Scientist,2021-06-24T22:45:11Z,"Big data, R, SQL, Python, Cloud",Trigent Softwar,Chicago,IL,60290,Data Scientist,"Trigent Software, Inc.",,"Chicago, IL",Bachelor's - Masters,"sas, oral communication skills, big data, r, cloud, communication skills, sql, python","sas, r, small, sql, python",,,hive,False,2 to 6,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Trigent-Software%2C-Inc.-Chicago-IL-60290/TRIGENT/7021402
Data Scientist - Analytical Measurement,2020-11-10T20:33:46Z,"Analytics, Adobe, Advanced analytics, Algorithms, Amazon Web Services, Apache Spark, Articulate, Best practices, Business Objects, Business analysis, Business partnership, Continuous improvement, Data analysis, Database architecture, Design thinking, Data engineering, Data modeling, Data science, Data warehouse, Energy, Decision support, Documentation, Econometrics, Economics, Education, Engineering, Evaluation, FOCUS, Finance, Forecasting, Foundry, HTML, IMPACT, Cadence, Capacity management, Cloud, Java, Jupyter, Ladder logic, MOST, Computer science, Creativity, IT, IT architecture, IT management, Implementation, Machine learning, Mathematics, Mentorship, Metrics, Microsoft SharePoint, Microsoft Windows Azure, Mobile, Scrum, Software, Software development, Programmable logic controller, QA, R, Reporting, SQL, Scala, Operations, Training, UX, Visual Basic, scikit-learn, Software development methodology, C, Production, Productivity, Program management, Python, Mobile development, Modeling, NATURAL, Networking, OLTP, Product owner, Science, Agile, Software engineering, Statistics, Web applications, Workflow, Activity diagrams, Active Directory, Apache Hadoop, Brand, Business intelligence, Communication skills, Critical thinking, Customer experience, DCM, Data mining, Leadership, Marketing, Media, Microsoft Power BI, Operations research, Optimization, Oracle, Project management, Relationship building, Roadmaps, SOLID, Strategy, Tableau, Teradata, Test execution, Visualization, CRM, A/B testing, Data cleansing, Business acumen, Data manipulation, Demand forecasting, Industrial engineering, Inventory, MATLAB, Physics, SAS, Scripting, Simulation, Apache Hive, Supply chain management, data scientist",Mindlance,San Francisco,CA,94105,Data Scientist,Analytical Measurement,,"Mindlance - San Francisco, CA",Bachelor's - Masters,"database, cadence, it architecture, software engineering, microsoft power bi, roadmaps, advanced analytics, leadership, python, computer science, operations research, oracle, statistics, it management, data manipulation, active directory, algorithms, statistical analysis, oltp, mobile development, microsoft sharepoint, web services, machine learning, supply chain management, cloud, business intelligence, project management, natural, tableau, software development, foundry, visual basic, apache hive, scrum, microsoft windows azure, testing, communication skills, sql, capacity management, mathematics, matlab, crm, agile, jupyter, apache hadoop, modeling, data warehouse, database architecture, html, java, industrial engineering, apache spark, r, teradata, programmable logic controller, data cleansing, ladder logic, finance, data mining, business objects, a/b testing, networking, sas, test execution, data modeling, continuous improvement, data engineering, decision support, program management, data analysis, c, qa, ux, microsoft windows, business analysis, scala, amazon web services, marketing, data science, physics","ladder, sas, plus, spark, scala, oracle, r, matlab, c, python, clean, sql, java",jupyter,"scrum, agile",hive,False,3,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Analytical-Measurement-Mindlance-San-Francisco-CA-94105/10114908/6751935
Data Scientist - Video Game Data - 100% REMOTE,2021-06-30T00:48:13Z,"Game, Test, SQL, Video, Python, Modeling, Oracle, MySQL, Systems",Jobot,,,,Data Scientist,Video Game Data,6/29/2021,100% REMOTE - Jobot -,Bachelor's - Masters,"mysql, algorithms, database, machine learning, big data, oracle, r, troubleshooting, data mining, sql, modeling, statistics, testing, tableau, deep learning, postgresql, microsoft sql server, python","mysql, oracle, r, sql, postgresql, microsoft sql server, python",,,,True,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Video-Game-Data-%26%2345-100%26%2337-REMOTE-Jobot---/91113390/1717344002
Data Scientist ML researcher,2021-06-24T11:06:25Z,"C, C++, Java, Spark, MySQL, Hive",Arthur Lawrence,Darby,PA,19023,Data Scientist ML researcher,Arthur Lawrence,6/29/2021,"Darby, PA",Bachelor's - Masters,"mysql, c, business objects, google analytics, c++, java","mysql, c, s, ml, spark, c++, java",,d3,hive,False,5,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-ML-researcher-Arthur-Lawrence-Darby-PA-19023/10207147/ABT_8904_01
Senior Data Scientist,2021-05-18T00:46:55Z,"Python, SQL",Motion Recruitment,San Jose,CA,95101,Senior Data Scientist,Motion Recruitment,,"San Jose, CA",Bachelor's - Masters,"communication skills, machine learning, sql, python","sql, python",,,,False,4 to 8,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-Motion-Recruitment-San-Jose-CA-95101/10105282/460242
TS/ SCI Data Scientist /Statistician,2021-06-16T23:31:50Z,"Apache, Python, CAD, Software, SAS",Zachary Piper Solution,St. Louis,MO,63101,TS/ SCI Data Scientist /Statistician,"Zachary Piper Solutions, LLC",6/29/2021,"St. Louis, MO",Bachelor's - Masters,"project management, sas, statistical analysis, apache spark, cad, elasticsearch, r, autocad, advanced analytics, cots, kibana, python","planner, sas, elasticsearch, r, dc, spark, python",,,"vision, scope",True,3 to 5,6292021,,https://www.dice.com/jobs/detail/TS%26%2347-SCI-Data-Scientist-%26%2347Statistician-Zachary-Piper-Solutions%2C-LLC-St.-Louis-MO-63101/10430981/45389
Data Scientist,2021-05-21T23:09:21Z,"Computer, Python",Leidos,Mclean,VA,22102,Data Scientist,Leidos,6/29/2021,"Mclean, VA",Bachelor's - PhD,"algorithms, computer science, machine learning, statistical analysis, big data, r, mathematics, tensorflow, data science, statistics, natural language processing, natural, modeling, python","r, python, processing","pytorch, tensorflow",,,False,1 to 5,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Leidos-Mclean-VA-22102/SCNCAPI2/R%26%234500057042
Senior Data Scientist - Search,2021-05-04T23:33:45Z,"Algorithms, Engineers, Python, Java, Data Mining, Computer, Research",Walmart,Sunnyvale,CA,94086,Senior Data Scientist,Search,6/29/2021,"Walmart - Sunnyvale, CA",Associate's - Masters,"machine learning, cadence, online advertising, java, big data, r, advertising, deep learning, python, computer science, operations research, data mining, statistics, distributed computing, algorithms, scala, tensorflow, mathematics, data science, less, modeling","plus, scala, r, ml, source, java, spark, python",tensorflow,,,False,1 to 5,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-%26%2345-Search-Walmart-Sunnyvale-CA-94086/appblok/8261_R%26%2345525410
Secret Cleared Health Data Scientist,2021-06-25T23:33:57Z,"Apache, Python, Software, SAS",Zachary Piper Solution,Silver Spring,MD,20901,Secret Cleared Health Data Scientist,"Zachary Piper Solutions, LLC",6/29/2021,"Silver Spring, MD",Bachelor's - Masters,"project management, sas, statistical analysis, elasticsearch, apache spark, r, cots, biology, modeling, statistics, spring, kibana, python","sas, spark, elasticsearch, r, dc, source, goal, python",,,"vision, spring, scope",True,3 to 5,6292021,,https://www.dice.com/jobs/detail/Secret-Cleared-Health-Data-Scientist-Zachary-Piper-Solutions%2C-LLC-Silver-Spring-MD-20901/10430981/45756
Data Scientist,2021-04-14T00:46:00Z,"Python, SQL, Linux, Computer, Engineering, NLP",Judge Grou,Grand Prairie,TX,75050,Data Scientist,"Judge Group, Inc.",6/29/2021,"Grand Prairie, TX",Bachelor's - Masters,"algorithms, computer science, machine learning, big data, mathematics, data science, python, sql, statistics, deep learning, linux, modeling, problem solving","shell, spark, sql, python",,,linux,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Judge-Group%2C-Inc.-Grand-Prairie-TX-75050/cxjudgpa/713458
Data Scientist,2021-04-22T18:15:35Z,"python, machine learning, SQL",Brains Workgrou,Cambridge,MA,2138,Data Scientist,"Brains Workgroup, Inc.",6/29/2021,"Cambridge, MA",Bachelor's - Masters,"machine learning, operations research, tensorflow, mathematics, data science, sql, leadership, statistics, git, systems design, bash, modeling","bash, sql","pytorch, tensorflow","ci/cd, git",,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Brains-Workgroup%2C-Inc.-Cambridge-MA-02138/RTL499109/6938862
Data Scientist,2021-06-09T21:31:22Z,"Data mining, Data science, ETL, Python, R, SAS, SQL, Machine learning, Predictive modelling",Pyramid Consultin,Irvine,CA,92602,Data Scientist,"Pyramid Consulting, Inc.",6/15/2021,"Irvine, CA",Masters,"sas, machine learning, big data, r, data science, data mining, predictive modelling, sql, etl, clustering, modeling, python","sas, r, sql, python",,,,False,5,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Pyramid-Consulting%2C-Inc.-Irvine-CA-92602/pyrmid/6999579
Data Scientist,2021-06-23T23:30:12Z,"Security, Development, SQL, Oracle, Database, IT",SAIC,Huntsville,AL,35801,Data Scientist,SAIC,6/29/2021,"Huntsville, AL",Associate's - Masters,"database, oracle, agile, data integration, tableau, sql","sql, go, oracle, f",,agile,"scope, go",True,4 to 6,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-SAIC-Huntsville-AL-35801/10111346/218978
Lead Data Scientist,2021-06-17T14:50:33Z,"Data science, SPSS, Tableau, Visualization, Statistics, Modeling, Machine learning, R, SAS, Data mining, Data analysis, Artificial intelligence, Microsoft Power BI, Python, Analytics",R2 Technologie,Irving,TX,75014,Lead Data Scientist,"R2 Technologies, Inc.",6/29/2021,"Irving, TX",Bachelor's - Masters,"sas, data analysis, machine learning, r, finance, data science, data mining, python, leadership, sql, statistics, it management, tableau, management skills, microsoft power bi, modeling, artificial intelligence","sas, context, r, sql, python",,,"vision, scope",False,2 to 9,6292021,,https://www.dice.com/jobs/detail/Lead-Data-Scientist-R2-Technologies%2C-Inc.-Irving-TX-75014/rtwonow/7010772
Data Scientists - TS/SCI + Full Scope Poly,2021-06-12T23:17:02Z,"Security, Python, Database, SQL, MySQL, XML",Tallon Recruiting &amp; Staffing,Falls Church,VA,22040,Data Scientists,TS/SCI + Full Scope Poly,6/29/2021,"Tallon Recruiting & Staffing - Falls Church, VA",Bachelor's - Masters,"database, machine learning, genetics, microstrategy, data engineering, etl, data processing, database modeling, cloud, r, advanced analytics, data management, d3.js, tableau, deep learning, python, xml, communication skills, sql, artificial intelligence, mysql, tensorflow, data science, data visualization, agile, data modeling, data collection, modeling","mysql, r, processing, postgre, xml, spark, sql, python",tensorflow,agile,scope,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientists-%26%2345-TS%26%2347SCI-%2B-Full-Scope-Poly-Tallon-Recruiting-%26-Staffing-Falls-Church-VA-22040/10191119/914
Data Scientist - Remote,2021-06-23T00:46:11Z,"Supply Chain, Sales, Simulation, Computer, Research, Engineering, Python, SAS, SQL, JavaScript, Java, API",Stanley Black and Decker,New Britain,CT,6050,Data Scientist,Remote,,"Stanley Black and Decker - New Britain, CT",Bachelor's - Masters,"data profiling, machine learning, sales, cloud, java, json, industrial engineering, big data, r, natural, deep learning, data cleansing, python, shell scripting, computer science, operations research, data mining, statistics, sql, neural networks, sas, algorithms, matlab, mathematics, api, data science, mapreduce, javascript, marketing, modeling, problem solving","sas, rest, r, matlab, shell, javascript, python, java, lean, spark, sql, processing",aws,,"hive, vision",True,2,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Remote-Stanley-Black-and-Decker-New-Britain-CT-06050/91121164/80993BR
Lead Data Scientis,2021-05-14T17:45:10Z,"Data Science, Machine Learning, Python, Pandas, Numpy, Scikit-Learn, SQL, AWS",Solution Partner,Chicago,IL,60290,"Lead Data Scientist, Machine Learning","Solution Partners, Inc.",,"Chicago, IL",Bachelor's - Masters,"computer science, machine learning, software development, mathematics, data science, automated testing, statistics, lead generation, natural language processing, testing, natural, product engineering, sales, git, mercurial, sql, python","plus, s3, processing, pipelines, sql, python",aws,"git, version control",athena,False,2 to 6,6292021,,https://www.dice.com/jobs/detail/Lead-Data-Scientist%2C-Machine-Learning-Solution-Partners%2C-Inc.-Chicago-IL-60290/solpart/6967547
AI Data Scientist,2020-11-17T00:08:26Z,"NLP, AI, Python, Data Science, MAchine Learning",IMPACT Technology Recruiting,Phoenix,AZ,85001,AI Data Scientist,IMPACT Technology Recruiting,6/29/2021,"Phoenix, AZ",Bachelor's - Masters,"deep learning, machine learning, data science, python, natural language processing, natural, cloud, computer vision, artificial intelligence","python, processing",,,vision,False,5,6292021,,https://www.dice.com/jobs/detail/AI-Data-Scientist-IMPACT-Technology-Recruiting-Phoenix-AZ-85001/10122090/6757015
Senior Data Scientist,2021-06-03T19:05:32Z,"SAS, SAS Code, Python, R, Machine Learning, Artificial Intelligence, Pyspark, Kinesis, AWS, Data Science, Programming",Bayforce,Atlanta,GA,30301,Senior Data Scientist,Bayforce,6/1/2021,"Atlanta, GA",Masters,"sas, artificial intelligence, machine learning, r, data science, statistics, deep learning, python","r, sas, python, clean",aws,,,False,4,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-Bayforce-Atlanta-GA-30301/RTX161032/6992306
Data Scientist,2021-06-07T12:07:43Z,"Data modeling, Microsoft Windows Azure, SQL, R, Taxonomy, Python, Data science, Business intelligence, Statistics, Tableau, Reporting",Veritas Partners,,,,Data Scientist,Veritas Partners,6/8/2021,,Bachelor's - Masters,"data migration, business intelligence, java, r, tableau, kibana, python, microsoft windows, statistics, microsoft windows azure, sql, scala, object-oriented programming, splunk, mathematics, data science, data visualization, javascript, veritas, data modeling, modeling","scala, r, javascript, java, spark, sql, python",,object-oriented programming,hive,True,2,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Veritas-Partners---/91092999/6994732
Sr. Data Scientist (3620),2021-06-15T00:32:14Z,"Data Science, Machine Learning, Python",Flexion Inc,Richfield,MN,55423,Sr. Data Scientist (3620),Flexion Inc,6/15/2021,"Richfield, MN",Bachelor's - Masters,"data analysis, spectrum, computer science, apache spark, machine learning, big data, operations research, r, marketing, data mining, data science, leadership, physics, statistics, core data, data processing, thought leadership, python","r, processing, pipelines, spark, python",,,,False,4,6292021,,https://www.dice.com/jobs/detail/Sr.-Data-Scientist-%283620%29-Flexion-Inc-Richfield-MN-55423/compcc/3620%26%2345318
Data Scientist,2021-06-01T20:07:29Z,"Consulting, Artificial intelligence, CAN, CGI, CRM, Communication skills, Computer vision, Monitoring, NoSQL, NumPy, Problem solving, Python, REACH, SAP BASIS, Innovation, Keras, Leadership, MOST, Machine learning, Microsoft Windows Azure, Data science, Data storage, Database, Deep learning, EEO, Government, IT, SDK, Science, Software",Applied Information Sciences,,,,Data Scientist,Applied Information Sciences,,,Bachelor's - Masters,"database, machine learning, model deployment, sap, keras, leadership, deep learning, python, nosql, microsoft windows, microsoft windows azure, communication skills, artificial intelligence, tensorflow, data science, crm, data storage, computer vision, sap basis, problem solving","nosql, python",tensorflow,,vision,True,3 to 5,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Applied-Information-Sciences---/10118418/6988516
Lead Data Scientist (3621),2021-06-15T00:33:11Z,"Data Science, Machine Learning, Python",Flexion Inc,Richfield,MN,55423,Lead Data Scientist (3621),Flexion Inc,6/15/2021,"Richfield, MN",Bachelor's - Masters,"data analysis, spectrum, computer science, apache spark, machine learning, big data, operations research, r, marketing, data mining, data science, leadership, physics, statistics, core data, data processing, thought leadership, python","r, processing, pipelines, spark, python",,,,False,6,6292021,,https://www.dice.com/jobs/detail/Lead-Data-Scientist-%283621%29-Flexion-Inc-Richfield-MN-55423/compcc/3621%26%2345342
Senior Data Scientist,2021-03-10T17:18:16Z,Python,PK,Remote,,,Senior Data Scientist,PK,6/29/2021,Remote,Bachelor's - Masters,"data structures, data profiling, computer science, database, machine learning, operations research, r, data science, leadership, jupyter, modeling, statistics, electrical engineering, emerging technologies, computer engineering, python","context, r, source, spark, python","aws, jupyter",,vision,True,5,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-PK-Remote--/10116288/2021%26%234530493
Sr. Data Scientist,2021-06-21T21:31:27Z,"Systems, Artificial Intelligence, Computer, Python, Java, IT",ConsultNe,Silver Spring,MD,20901,Sr. Data Scientist,"ConsultNet, LLC",6/29/2021,"Silver Spring, MD",Bachelor's - Masters,"data structures, neural networks, algorithms, computer science, database, machine learning, scala, tensorflow, design patterns, mathematics, python, github, java, cloud, deep learning, communication skills, c++, artificial intelligence","plus, scala, java, pipelines, c++, python","aws, tensorflow","ci/cd, github",,True,,6292021,,https://www.dice.com/jobs/detail/Sr.-Data-Scientist-ConsultNet%2C-LLC-Silver-Spring-MD-20901/cxcnetut/21%26%234501271
Principal Data Scientist,2021-06-24T14:31:16Z,"Python, TensorFlow",LHI Group,,,,Principal Data Scientist,LHI Group,,,Bachelor's - Masters,"cloud, data science, tensorflow","ml, go",tensorflow,,go,True,,6292021,,https://www.dice.com/jobs/detail/Principal-Data-Scientist-LHI-Group---/91115974/7019953
Principal AI-ML Data Scientist,2021-05-18T23:05:21Z,,Kforce Technology Staffing,Nashville,TN,37219,Principal A,L Data Scientist,6/29/2021,"Kforce Technology Staffing - Nashville, TN",Bachelor's - Masters,"machine learning, robotics, cloud, project management, waterfall, r, deep learning, python, computer science, software development, statistics, distributed computing, artificial intelligence, six sigma, tensorflow, data science, agile, physics, iot","ml, r, source, python","pytorch, aws, tensorflow","ci/cd, agile",,False,,6292021,,https://www.dice.com/jobs/detail/Principal-AI%26%2345ML-Data-Scientist-Kforce-Technology-Staffing-Nashville-TN-37219/kforcecx/ITAQG1955051
Sr. Data Scientist,2021-06-28T22:50:43Z,"Agile, Communication skills, Decision-making, Distributed computing, Python, R, SQL, Statistics",Incedo Inc,,,,Sr. Data Scientist,Incedo Inc,,,Bachelor's - Masters,"machine learning, r, data science, agile, python, statistics, distributed computing, communication skills, sql, problem solving","r, python, sql, processing",,agile,,True,5,6292021,,https://www.dice.com/jobs/detail/Sr.-Data-Scientist-Incedo-Inc---/10476889/7024924
Data Scientist,2021-05-26T12:31:21Z,"Statistics, R, Computer Science, Data Scientist, SQL, Spark, Hadoop, Azure, Microsoft Azure, Cloud, Google Cloud Platform, GCP, AWS, Amazon Web Services, GIT",Resolvi,Cincinnati,OH,45201,Data Scientist,"Resolvit, LLC.",6/15/2021,"Cincinnati, OH",Bachelor's - Masters,"machine learning, natural language processing, financial services, cloud, text mining, content management, google cloud, big data, r, data management, natural, deep learning, emerging technologies, python, attention to detail, computer science, statistics, teamwork, sql, algorithms, amazon web services, life sciences, mathematics, data science, web services, git, property and casualty insurance","r, processing, pipelines, spark, sql, python","aws, gcp","git, version control",vision,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Resolvit%2C-LLC.-Cincinnati-OH-45201/RTX1ceca3/6982599
AI/ML Data Scientist,2021-06-24T00:18:01Z,,Turnberry Solution,Valley Forge,PA,19481,AI/ML Data Scientist,"Turnberry Solutions, Inc",,"Valley Forge, PA",Masters,,,,,,False,3,6292021,,https://www.dice.com/jobs/detail/AI%26%2347ML-Data-Scientist-Turnberry-Solutions%2C-Inc-Valley-Forge-PA-19481/10120009/21%26%234500793
Data Scientis,2021-04-16T00:31:47Z,"SQL, Python, SAS, Management, Engineering, Software, Computer",comScore,Chicago,IL,60601,"Data Scientist, Panel Science",comScore,,"Chicago, IL",Bachelor's - Masters,"sas, data analysis, product management, computer science, big data, r, mathematics, troubleshooting, data science, python, statistics, teamwork, advertising, data processing, software engineering, communication skills, sql, problem solving","sas, spark, r, processing, source, rapid, goal, sql, python",aws,,hive,False,1 to 3,6292021,,https://www.dice.com/jobs/detail/Data-Scientist%2C-Panel-Science-comScore-Chicago-IL-60601/10121572/4708
Data Scientis,2021-06-04T00:47:17Z,"Computer, Research, Engineering, Python, SAS, SQL, Java, API, Analysis, Modeling",Stanley Black and Decker,Hartford,CT,6101,"Data Scientist, Industry 4.0",Stanley Black and Decker,6/1/2021,"Hartford, CT",Bachelor's - Masters,"data profiling, machine learning, cloud, robotics, java, json, industrial engineering, big data, r, leadership, natural, data cleansing, python, shell scripting, computer science, operations research, data mining, statistics, testing, sql, artificial intelligence, neural networks, sas, algorithms, data wrangling, statistical analysis, matlab, mathematics, api, data science, mapreduce, javascript, iot, data collection, modeling, problem solving","sas, spark, rest, r, matlab, shell, javascript, python, java, goal, sql, processing",aws,,"hive, vision",False,3 to 5,6292021,,https://www.dice.com/jobs/detail/Data-Scientist%2C-Industry-4.0-Stanley-Black-and-Decker-Hartford-CT-06101/91121164/79969BR
Data Scientist,2021-06-26T00:48:47Z,"Python, SQL",Motion Recruitment,Irvine,CA,92602,Data Scientist,Motion Recruitment,,"Irvine, CA",Bachelor's - Masters,"algorithms, big data, r, marketing, data science, tableau, sales, data cleansing, communication skills, sql, python","scratch, r, sql, python",,,,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Motion-Recruitment-Irvine-CA-92602/10105282/460630
